auth_false,net_traffic,net_traffic_auth,net_users,auth_store,train,route,routes_route,ip_count,auth_count,service_availability,vpn_ip,id,depart,arrive,train_name,p_count,count,real_route,route_arrival,station_of_departure,station_of_arrival,equipment,cron,availability,route_current,code,type,films_count,films_available,get_carriage,cont_users,actual_carriage,scan_carriage,rdl_api_version,comment_c,service_status_auth,service_status_nginx,service_status_dhcpd,service_status_ipcad,service_status_squid,source_car,auth_version,daemon_version,content_music,content_books,content_audio_book,content_films,content_press,http_codes_200,http_codes_404,http_codes_404_percent,core_version,docker_status,dockers_errors,dockers_errors_status,temp,temp_second
,,,,,058-13696,101Й,101Й,,,,,635313,2021-12-25T09:13:00,2021-12-27T18:10:00,,,1,,,"НИЖНЕВАРТ I","ПЕНЗА I",,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,084-16224,115Н,115Н,,,,,635541,2021-12-25T11:40:00,2021-12-29T05:32:00,,,1,,,"ТОМСК II",АДЛЕР,"Incarnet ",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,017-16281,061Щ,061Щ,,,,,635537,2021-12-25T11:50:00,2021-12-31T13:58:00,,,1,,,ВЛАДИВОСТОК,МОСКВА-П-ЯР,"Incarnet 000",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,052-16429,309С,309С,,,,,635226,2021-12-25T12:05:00,2021-12-29T05:03:00,,,1,,,ВОРКУТА,АДЛЕР,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,092-16896,091И,091И,,,,,635184,2021-12-25T12:20:00,2021-12-29T05:52:00,,,1,,,СЕВЕРОБАЙКАЛ,МОСКВА-П-ЯР,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
5,3451485203,2690812926,78,28,026-16076,012Я,012Я,48,28,0,192.168.218.7,635304,2021-12-25T13:35:00,2021-12-28T08:26:00,026-16076,1548,734,012Я,"2021-12-28T08:26:00 791
2021-12-26T08:26:00 757
",МОСКВА-П-ЯР,"НОВ УРЕНГОЙ","Incarnet 668",1,2021-12-28T13:44:21,012Я,1,SPECIAL,0,,0,2,6,0,2.4.1,6,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,372,1,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,086-16880,116С,116С,,,,,635540,2021-12-25T13:44:00,2021-12-29T11:39:00,,,1,,,АДЛЕР,"ТОМСК II",,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,094-17221,070Ч,070Ч,,,,,635233,2021-12-25T13:50:00,2021-12-30T00:11:00,,,1,,,МОСКВА-П-ЯР,"ЧИТА II","Incarnet 000",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,018-15364,147С,147С,,,,,635232,2021-12-25T14:20:00,2021-12-28T20:03:00,,,1,,,МУРМАНСК,АДЛЕР,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,084-16174,007Н,007Н,,,,,635094,2021-12-25T14:23:00,2021-12-30T11:27:00,,,1,,,ВЛАДИВОСТОК,ОМСК-ПАС,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,094-16348,069Ч,069Ч,,,,,635234,2021-12-25T15:00:00,2021-12-30T04:56:00,,,1,,,"ЧИТА II",МОСКВА-П-ЯР,"Incarnet 000",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,052-17112,310Э,310Э,,,,,635227,2021-12-25T15:12:00,2021-12-29T07:10:00,,,1,,,АДЛЕР,ВОРКУТА,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,002-17265,109М,109М,,,,,635190,2021-12-25T15:16:00,2021-12-28T05:22:00,,,1,,,"НОВ УРЕНГОЙ",МОСКВА-П-ЯР,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
25,42359955519,16239290301,255,130,084-17065,014Н,014Н,86,135,0,192.168.218.239,635165,2021-12-25T15:30:00,2021-12-28T06:53:00,084-17065,1385,2128,014Н,"2021-12-26T06:53:00 605
2021-12-28T06:53:00 780
","ДАЧА ДОЛГОР (ЛАДВОКЗАЛ)",НОВОКУЗНЕЦК,"Incarnet 574",1,2021-12-28T13:44:56,014Н,1,SPECIAL,0,,0,1,9,0,2.4.1,2,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,72,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,077-16301,326С,326С,,,,,635291,2021-12-25T15:50:00,2021-12-28T04:37:00,,,1,,,НОВОРОССИЙСК,"ПЕРМЬ II","Incarnet 000",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,061-15752,147Ж,147Ж,,,,,635230,2021-12-25T16:10:00,2021-12-28T09:45:00,,,1,,,"АСТРАХАНЬ I","НИЖНЕВАРТ I",,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,083-16002,095Н,095Н,,,,,635187,2021-12-25T16:16:00,2021-12-28T05:20:00,,,1,,,БАРНАУЛ,МОСКВА-П-КАЗ,"Incarnet ",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
23,23095595034,12184158267,374,166,096-17275,001Э,001Э,120,166,0,192.168.219.53,635086,2021-12-25T16:18:00,2022-01-01T11:13:00,096-17275,12873,1080,001Э,"2021-12-29T11:13:00 1789
2021-12-30T11:13:00 1931
2021-12-31T11:13:00 2428
2022-01-01T11:13:00 2407
2021-12-26T11:13:00 1244
2021-12-27T11:13:00 1574
2021-12-28T11:13:00 1500
",ВЛАДИВОСТОК,МОСКВА-П-ЯР,"Incarnet 2013",1,2021-12-28T13:44:00,001Э,1,SPECIAL,0,,0,74,16,0,2.4.1,2,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,2299,91,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,014-16502,302С,302С,,,,,635138,2021-12-25T16:25:00,2021-12-27T18:59:00,,,1,,,АДЛЕР,МИНСК-ПАС,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
5,4109848603,4091175545,64,28,076-16071,086У,086У,27,72,0,192.168.218.232,635162,2021-12-25T16:38:00,2021-12-27T20:35:00,076-16071,1776,1465,086У,"2021-12-25T20:35:00 893
2021-12-27T20:35:00 883
",МОСКВА-П-КАЗ,"НИЖНЕВАРТ I","Incarnet 451",1,2021-12-28T13:43:47,086У,1,SPECIAL,0,,0,6,15,0,2.4.1,1,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,869,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,092-17217,092И,092И,,,,,635183,2021-12-25T16:50:00,2021-12-29T09:02:00,,,1,,,МОСКВА-П-ЯР,СЕВЕРОБАЙКАЛ,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,088-16738,077Ы,077Ы,,,,,635517,2021-12-25T17:10:00,2021-12-27T17:23:00,,,1,,,АБАКАН,"ПЕРМЬ II",,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,088-16712,255Ы,255Ы,,,,,635574,2021-12-25T17:16:00,2021-12-28T05:52:00,,,1,,,КРАСНОЯРСК,МОСКВА-П-ЯР,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,058-13662,347Ж,347Ж,,,,,635326,2021-12-25T17:45:00,2021-12-27T20:10:00,,,1,,,СПБ-ГЛАВНЫЙ,УФА,"Incarnet 500",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,028-13400,375Я,375Я,,,,,635204,2021-12-25T17:45:00,2021-12-27T15:43:00,,,1,,,ВОРКУТА,МОСКВА-П-ЯР,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,084-16075,137Н,137Н,,,,,635496,2021-12-25T18:05:00,2021-12-27T14:35:00,,,1,,,НОВОКУЗНЕЦК,"НИЖНЕВАРТ I",,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,000-00000,989И,989И,,,,,635419,2021-12-25T18:15:00,2022-01-03T02:12:00,,,1,,,ВЛАДИВОСТОК,МОСКВА-П-КАЗ,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,052-16007,135А,135А,,,,,635352,2021-12-25T18:30:00,2021-12-27T22:00:00,,,1,,,СПБ-ГЛАВНЫЙ,МАХАЧКАЛА,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,080-17485,379У,379У,,,,,635393,2021-12-25T18:39:00,2021-12-28T03:49:00,,,1,,,"НОВ УРЕНГОЙ",ОРЕНБУРГ,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
